,flora,trace,keith,natani,kat,raine,zen,nora,mike,laura,reni,clovis,maddie,rose,maeve,evals,adelaide,alaric,willow
flora,75,39,9,11,15,1,1,2,4,5,1,0,0,0,1,0,0,0,0
trace,39,70,10,8,3,2,1,10,2,4,1,1,0,6,1,1,0,0,0
keith,9,10,91,63,8,0,5,1,1,13,1,2,3,0,0,0,3,1,0
natani,11,8,63,108,19,4,15,1,1,4,1,3,4,0,0,1,7,0,0
kat,15,3,8,19,109,4,15,6,13,13,2,1,2,3,2,3,0,0,8
raine,1,2,0,4,4,70,8,2,1,2,4,4,0,6,0,1,1,0,0
zen,1,1,5,15,15,8,35,0,0,1,1,3,1,0,0,1,0,0,0
nora,2,10,1,1,6,2,0,28,1,3,2,2,0,0,0,0,0,0,1
mike,4,2,1,1,13,1,0,1,39,1,1,2,0,0,0,12,0,0,0
laura,5,4,13,4,13,2,1,3,1,67,1,0,1,0,1,0,1,1,13
reni,1,1,1,1,2,4,1,2,1,1,22,0,0,0,0,0,0,0,1
clovis,0,1,2,3,1,4,3,2,2,0,0,21,0,0,0,0,0,0,0
maddie,0,0,3,4,2,0,1,0,0,1,0,0,16,0,5,0,5,0,0
rose,0,6,0,0,3,6,0,0,0,0,0,0,0,26,0,0,0,0,0
maeve,1,1,0,0,2,0,0,0,0,1,0,0,5,0,18,0,1,0,0
evals,0,1,0,1,3,1,1,0,12,0,0,0,0,0,0,13,0,0,0
adelaide,0,0,3,7,0,1,0,0,0,1,0,0,5,0,1,0,20,0,0
alaric,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
willow,0,0,0,0,8,0,0,1,0,13,1,0,0,0,0,0,0,0,20
